env,gid,value
1_PI_LN,L011xL033,3.601905483389856
1_PI_LN,L011xL037,4.247092702205168
1_PI_LN,L011xL038,2.0147946945658637
1_PI_LN,L011xL043,2.7541624367856516
1_PI_LN,L011xL046,6.068658815217582
1_PI_LN,L011xL048,3.537437375642785
1_PI_LN,L011xL049,5.951548254903734
1_PI_LN,L011xL056,1.908098994100771
1_PI_LN,L011xL058,4.143990869389856
1_PI_LN,L012xL007B,4.042197760440271
1_PI_LN,L012xL013,5.369580386423185
1_PI_LN,L012xL018,4.262921237831518
1_PI_LN,L012xL029,6.6454783313978725
1_PI_LN,L012xL033,4.786200827397872
1_PI_LN,L012xL037,4.166522517364951
1_PI_LN,L012xL041,3.4820139711771305
1_PI_LN,L012xL042,3.6663012920098934
1_PI_LN,L012xL046,2.2570091005214827
1_PI_LN,L012xL048,6.083615318391723
1_PI_LN,L012xL058,1.9376226813649515
1_PI_LN,L013xL015,2.9959744434402706
1_PI_LN,L013xL019,4.174506494423185
1_PI_LN,L013xL023,4.710135842847761
1_PI_LN,L013xL024,4.067511420423186
1_PI_LN,L013xL029,4.223057026391722
1_PI_LN,L013xL031,2.9158858044231852
1_PI_LN,L013xL032,5.171386625423185
1_PI_LN,L013xL033,5.054908639642785
1_PI_LN,L013xL034,4.315885804423186
1_PI_LN,L013xL035,5.408418011630557
1_PI_LN,L013xL037,4.560138678423185
1_PI_LN,L013xL038,4.505738021423185
1_PI_LN,L013xL039,3.6455871391152477
1_PI_LN,L013xL044,5.7959186454231855
1_PI_LN,L013xL045,4.143472011423185
1_PI_LN,L013xL046,3.081846395423185
1_PI_LN,L013xL047,2.9439646224231852
1_PI_LN,L013xL048,6.855193313847761
1_PI_LN,L013xL054,4.530621406440271
1_PI_LN,L013xL055,5.475820123423185
1_PI_LN,L014xL016,4.927631342009893
1_PI_LN,L014xL017,3.6744699723649514
1_PI_LN,L014xL018,6.843660153831518
1_PI_LN,L014xL023,3.3497454416113523
1_PI_LN,L014xL026,3.8771963351152476
1_PI_LN,L014xL029,1.902920713825981
1_PI_LN,L014xL032,7.378517894470916
1_PI_LN,L014xL034,5.438074545470917
1_PI_LN,L014xL037,1.1671741000371862
1_PI_LN,L014xL038,2.6271878454709174
1_PI_LN,L014xL044,3.984455113957511
1_PI_LN,L014xL045,3.456720407847761
1_PI_LN,L014xL046,1.0464653494709175
1_PI_LN,L014xL047,1.7962704678259813
1_PI_LN,L014xL055,1.1590584056305568
1_PI_LN,L014xL056,5.587617450037186
1_PI_LN,L014xL058,3.5791021652175825
1_PI_LN,L015xL007B,4.249937952364951
1_PI_LN,L015xL016,3.5677429756541477
1_PI_LN,L015xL017,0.09435345044027096
1_PI_LN,L015xL018,4.495433341277935
1_PI_LN,L015xL023,1.406002969924488
1_PI_LN,L015xL025,3.324739061685776
1_PI_LN,L015xL028,5.142753700453557
1_PI_LN,L015xL029,4.452779781903734
1_PI_LN,L015xL031,3.6094334556113523
1_PI_LN,L015xL033,3.8519906201007714
1_PI_LN,L015xL037,3.060430686100771
1_PI_LN,L015xL041,3.5268517708477614
1_PI_LN,L015xL042,2.2580542318732872
1_PI_LN,L015xL043,4.337767552389856
1_PI_LN,L015xL044,3.345005816521483
1_PI_LN,L015xL045,4.3323103504535565
1_PI_LN,L015xL046,3.3348215163978723
1_PI_LN,L015xL047,1.7092225091771305
1_PI_LN,L015xL049,4.590357662099095
1_PI_LN,L015xL055,1.2947451453254921
1_PI_LN,L015xL056,5.448751159205169
1_PI_LN,L015xL058,2.7291667781152475
1_PI_LN,L016xL014C,4.858740372903735
1_PI_LN,L016xL017,4.2941432162175825
1_PI_LN,L016xL019,2.1545184383917233
1_PI_LN,L016xL025,3.911220392217582
1_PI_LN,L016xL026,5.5237870343978726
1_PI_LN,L016xL031,4.317094317389856
1_PI_LN,L016xL032,7.816977056037186
1_PI_LN,L016xL034,4.760228287037187
1_PI_LN,L016xL038,5.356986739785651
1_PI_LN,L016xL042,2.7241432162175823
1_PI_LN,L016xL043,4.499043346470917
1_PI_LN,L016xL045,6.635138524642785
1_PI_LN,L016xL046,2.812506245397872
1_PI_LN,L016xL047,5.163331735037186
